career_objective,skills,educational_institution_name,degree_names,passing_years,major_field_of_studies,professional_company_names,start_dates,end_dates,related_skils_in_job,positions,responsibilities,﻿job_position_name,has_job_data,has_cv_data,data_type,cv_id
,"['Data Analysis', 'Machine Learning', 'Data Science', 'Statistical Analysis', 'Time Series Analysis', 'Statistical Modelling', 'Data Manipulation', 'Python', 'R', 'Tableau', 'SQL', 'Django', 'PostgreSQL']",['Nagpur University'],['B.Tech'],['2019'],['Electronics Engineering'],['AMZ Loans and Mortgages'],['Oct 2019'],[None],"[['Data Analysis', 'Pipelines', 'Automation']]",['Analyst'],"iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality",Senior iOS Engineer,True,True,mixed,53
,"['assisted living', 'interpersonal and communication', 'insurance', 'internal medicine', 'managing', 'marketing', 'marketing/sales', 'meetings', 'mentor', 'office', 'networking', 'organizing', 'orthopedics', 'outside sales', 'physical therapy', 'rehabilitation', 'sales', 'seminars', 'Team player', 'time management']",['ARIZONA STATE UNIVERSITY'],['B.A'],['N/A'],['Organizational Communication Business Management'],"['Company Name', 'Company Name', 'Company Name', 'Company Name']","['May 2011', 'January 2007', 'March 2003', 'January 1999']","['November 2014', 'May 2011', 'January 2007', 'January 2001']","[['building referral relationships', 'management', 'networking', 'customer needs', 'organizing seminars'], ['same store growth', 'relationship building', 'market analysis', 'representation', 'mentoring'], ['growth management', 'relationship building', 'leadership', 'recognition'], ['promotion', 'networking', 'customer facilitation', 'census maintenance']]","['Business Development Manager', 'Marketing/Outside Physician Rep', 'Marketing Director', 'Resident Liaison']","Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking","Executive/ Senior Executive- Trade Marketing, Hygiene Products",True,True,mixed,54
I am currently looking for an opportunity as a Data Science or Machine Learning Engineer.,"['Business analyst', 'Data modeling', 'Business intelligence', 'ERP implementation', 'html', 'Requirement Gathering', 'Power Bi', 'Project Management']","['SP University', 'SP University']","['BBA', 'MBA']","['2018', '2020']","['Management', 'Information Technology']",['JVV IT Solutions'],['Feb 2020'],['till date'],[[]],['Business Analyst'],"Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks",Executive - VAT,True,True,mixed,55
Recently graduated fresher experienced in Machine Learning and Natural Language Processing looking for roles that involve projects in the same.,"['Python Programming', 'Machine Learning', 'Natural language Processing', 'Numpy', 'NLTK', 'Text Analysis', 'Transformers', 'Series Analysis', 'Conversational AI']",['KCCE University'],['B.Tech'],['2019'],['Computers'],['eLevaTe LtD.'],['Apr 2019'],['till date'],"[['Machine Learning', 'Natural Language Processing']]",['Machine Learning Developer'],"Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support",Data Science Engineer,True,True,mixed,56
,"['Data Analyst', 'Database Management', 'Data Integration', 'Machine Learning', 'Natural Language Processing', 'Artificial Intelligence', 'Deep Learning', 'Python', 'SQL', 'Data Science', 'Tableau', 'PowerBi', 'Business Analysis', 'AWS Lambda', 'Spark', 'PySpark', 'Azure', 'SQL Server']","['Madras University', 'SRM University (SRMU)']","['B.Com', 'MBA']","['2017', '2019']","['Commerce', 'N/A']",['Geakminds Inc'],['Jan 2018'],['Ongoing'],"[['Data Science', 'Machine Learning', 'Statistical Analysis', 'Azure', 'Python', 'SQL']]",['Associate Data Science Engineer'],"Internal Audit Assistance
Voucher & Bill Verification
Cost Sheet Analysis
L/C Voucher Verification
Expense Verification
Salary & Wages Verification
Market Rate Verification",Sr.Officer / Executive - Internal Audit,True,True,mixed,57
I desire to work for a company that provides career advancement opportunities in a friendly environment. I would like to develop skills that make me proficient in my job and an asset to the company. I have a varied skill set and enjoy learning new techniques.,"['Word', 'SAP Time Approval', 'Excel', 'Travel Arranger', 'Access Database', 'Purchase Reqs in SAP', 'OutLook', 'IOs in SAP', 'Pcard purchases', 'Royalty Agreement Tracking']",['Oklahoma Jr. College'],['Associate of Arts'],['1990'],['Administrative Assistance'],"['Company Name', 'Company Name', 'Company Name', 'Company Name']","['Jul 1996', 'Nov 1995', 'Oct 1993', 'Jan 1990']","['Jul 2016', 'Jul 1996', 'Nov 1995', 'Oct 1992']","[['Proprietary Software License Administrator', 'SAP Labor', 'SAP IO creation', 'Purchase requisitions', 'Travel scheduling'], None, None, None]","['ENGINEERING COORDINATOR', 'FACILITIES TEMP', 'FACILITIES ADMINISTRATOR', 'BULK TELLER']","Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",AI Engineer,True,True,mixed,58
"I am an experienced analytics specialist seeking a full-time position in the field of data science and application in business problem solving, where I can apply my knowledge and skills for continuous improvement.","['Data Science', 'Customer analytics', 'Data Visualization', 'Natural language Processing', 'SQL', 'Python', 'R', 'Tableau', 'Alteryx', 'Process Improvement']",['Maulana Malviya College for Informatics'],['B.Tech'],['2020'],['ECE'],['Orchidia Tours and Travels'],['Apr 2020'],['Oct 2020'],"[['Natural language Processing', 'Customer analytics']]",['Data Managerial Intern'],"Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge",Network Support Engineer,True,True,mixed,59
,"['assembly', 'AutoCAD', 'automation', 'budgets', 'budget', 'CNC', 'electronics', 'layout', 'machine tools', 'machinery', 'market', 'materials', 'mathematics', 'mechanical', 'networks', 'packaging', 'PLC', 'policies', 'presentations', 'programming', 'Project management', 'quality', 'recording', 'sales', 'spreadsheet', 'team work']","['Penn State', 'Faith Christian Academy']","[None, 'General Diploma']","['2001', '1991']","['AutoCad', None]","['Company Name', 'Company Name', 'Company Name']","['January 2001', 'January 1997', 'January 1993']","['January 2015', 'January 2001', 'January 1997']","[['AutoCAD', 'project management', 'mechanical design', 'team building'], ['project management', 'automation', 'production', 'quality'], ['mechanical', 'precision machining', 'G-Code programming', 'production control']]","['Engineering Manager/Senior Mechanical Designer', 'Plant Manager/Project Manager', 'Precision Machinist']","iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality",Senior iOS Engineer,True,True,mixed,60
Collaborative computer science graduate. Eager to secure an internship using my experience with natural language processing and building web apps for non-technical users to further the mission of Coursera in democratizing education across the world.,"['JavaScript (Angular)', 'HTML/ CSS', 'Python (Django)', 'SQL (PostgreSQL, Oracle)', 'REST APIs (GraphQL)', 'Git']",['University of Texas'],['B.S.'],['2021'],['Computer Science'],"['University of Texas Help Desk', 'UT Computer Science Institute']","['January 2018', 'April 2015']","['May 2021', 'January 2018']","[['ticketing system management', 'network troubleshooting'], ['programming solutions research', 'interactive web app development', 'Python', 'Natural Language Toolkit']]","['Technician', 'Research Assistant']","Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration",Project Coordinator (Civil),True,True,mixed,61
,"['Microsoft Office (Word, Excel, Power Point, Outlook)', 'Abila MIP Fund Accounting Software', 'QuickBooks, QuickBooks Pro, Quicken', 'ADP, Paychex, Payroll Experts, QuickBooks Payroll Systems']",['Arizona State University'],['Bachelor of Science'],['N/A'],['Business Management'],"['Company Name', 'Company Name', 'Company Name', 'Company Name']","['08/2012', '08/2008', '02/2007', '05/2002']","['Current', '08/2012', '06/2010', '02/2007']","[['Financial statement analysis', 'Account reconciliation', 'General ledger accounting', 'Time management', 'Organizational skills', 'Process Receivables', 'Process Retail Sales Revenue', 'Monthly financial statements and budget analysis', 'Monthly bank reconciliations', 'Prepare monthly Use Tax returns', 'General Ledger review', 'Streamline Procedures', 'Accounts Payable'], ['QuickBooks, QuickBooks Pro, Quicken', ""Worker's Compensation Audits"", 'Payroll functions', 'Sales Tax Reporting', 'Financial Statement Preparation', 'Bank Statement Reconciliations'], ['Accounts Receivable', 'Monthly billing', 'Accounts Payable verification', 'Payroll processing', 'Employee benefits management', 'COBRA documentation', 'Accounting duties'], ['Accounting Department management', 'Financial statement production', 'Payroll processing', 'Payroll tax reporting', 'Software implementation', 'Employee benefits program', 'Recruitment', 'Personnel management']]","['Staff Accountant', 'Independent Accounting Consultant', 'Accounting Manager/Human Resources', 'Accounting and Human Resources Manager']","Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation",Mechanical Designer,True,True,mixed,62
"I am looking for an opportunity to work as a Data Scientist. Possessing right and accurate skills at collecting, analyzing, interpreting large datasets and performing data management tasks. Under the guidance of company's professionals I can contribute to company's success using my extensive analytical skills.","['Business Analytics', 'Data Analysis', 'Machine Learning', 'SQL', 'Firebase', 'AWS', 'GCP', 'Cloud Infrastructure', 'Python', 'Text Mining', 'Database Management and Processing', 'Time Series Analysis', 'Research Analysis']",['Lucknow University'],['B.Sc'],['2019'],['Statistics'],['E Express'],['Aug 2020'],['Till Date'],[['big data analytics']],['Associate Data Scientist'],"Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks",Executive - VAT,True,True,mixed,63
"looking for an opportunity as an engineer or related position which offers key participation, team-oriented tasks, immediate challenges and career opportunities in a reputed organization which will help me deliver my best and upgrade my skills in engineering and meet the demands of the organization. To utilize my technical skills for achieving the target and developing the best performance in the organization. I would like to implement my innovative ideas, skills and creativity for accomplishing projects.","['Know-your-consumer (KYC)', 'Statistical process control', 'Cost reduction and avoidance', 'Systems Engineering', 'Systems Engineering management', 'Software systems engineering', 'Quality control', 'Failure analysis', 'Tools of operations research', 'MS Office', 'Auto CAD', 'inspection', 'Lean manufacturing', 'process control', 'process design', 'simulation', 'system configuration']","['Oklahoma Christian University', 'Sastra University, Tanjore Tamil Nadu']","['Master of Science', 'Bachelor of Technology']","['current', '2016']","['Engineering Management', 'Chemical Engineering']","['Company Name', 'Company Name']","['06/2014', 'N/A']","['06/2014', 'N/A']","[['Lean techniques', 'Kaizen Events'], ['extraction', 'Nutraceuticals', 'sub-critical Carbon-di-oxide']]","['Engineering Intern', 'N/A']","Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration",Intern (Generative AI Engineering - 2D/3D Image Generation),True,True,mixed,64
Business Analyst and a data engineer. I believe that data has the highest power when it comes to making informative decisions about business and therefore my objective is to always make sense from what a dataset is trying to convey.,"['Business Associate', 'Program Management', 'Presales', 'Artificial Intelligence', 'Data Analytics', 'Telecommunication', 'Machine Learning', 'Cloud', 'M&E', 'Conversational AI', 'Predictive Analytics', 'Sales', 'Business Development', 'NLP', 'RFP', 'Computer Vision']",['SPPU'],['B.Tech'],['2018'],['Computers'],['Tech Mahindra'],['May 2019'],['Till Date'],"[['Presales', 'Solutions', 'Marketing', 'AI', 'D&A']]",['Business Associate'],"Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution",HR Officer,True,True,mixed,65
,"['Deep learning', 'Python', 'SQL', 'Keras', 'PyTorch', 'PySpark', 'Data Science', 'Data Analysis', 'Machine Learning', 'Natural Language Processing', 'Artificial Intelligence', 'Computer Vision', 'Pattern Recognition', 'NLP', 'OpenCV', 'Image Processing']","['Indian Institute of Technology (IIT), Kharagpur']",['Dual Degree (B.tech + M.Tech)(Chemical)'],['2019'],['Chemical'],['Innoplexus'],['Nov 2019'],['Till Date'],"[['Computer Vision', 'NLP', 'Deep Learning', 'Image Processing']]",['Data Scientist'],"Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",Executive/ Sr. Executive -IT,True,True,mixed,66
,"['Data Science', 'Logistic Regression', 'Clustering', 'Data Structures', 'Software Engineer', 'Data Analytics', 'Machine Learning', 'Visual Studio', 'Statistical Analysis', 'Linux', 'Unix', 'Python', 'Software Developer']",['University of Mangalore'],['Bsc (IT)'],['2019'],['Information Technology'],['Systemica Consultants'],['Apr 2019'],['Till date'],"[['Dashboards', 'Analytical Front-ends', 'Machine Learning', 'Statistical Modeling', 'Data Management']]",['SDE'],"Full Stack Development
Front-end: ReactJS, NextJS
Backend: Python, Django
API Design
Server-Side Logic
DRF (Django REST Framework)
Database Management (PostgreSQL, MySQL)
Version Control (Git)
AWS (ECR, RDS, ECS, ALB, EC2, etc.)
Linux, Docker, CI/CD, GitLab
Terraform, Shell Scripting","Full Stack Developer (Python,React js)",True,True,mixed,67
"Graduate analyst currently working as business analyst consultant. As an individual, I always try to overcome problems in the most analytical manner. I want to work on Machine Learning application problems that deal with real life scenarios.","['Business Analysis', 'Machine Learning', 'Requirement Gathering', 'Data Analysis', 'Artificial Intelligence', 'Predictive Modeling', 'Deep Learning', 'Data Modeling', 'Manual Testing', 'Quality Assurance', 'Python', 'R', 'SQL', 'HTML', 'Numpy', 'Tensorflow']","['Indian Institute of Technology (IIT), Mumbai']",['B.Tech'],['2020'],['Mechanical'],['Loyalty Rewards Management. Pvt. Ltd.'],['Aug 2020'],['Till Date'],"[['Business Analysis', 'Data Analysis', 'Designing', 'Predictive Modeling']]",['Business Analyst'],"Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",Executive/ Sr. Executive -IT,True,True,mixed,68
,"['Excellent communication', 'Inspecting', 'Team Lead', 'Modems', 'Processes', 'Scheduling', 'Technician', 'Trainer', 'Troubleshooting']",['ITT Techinical Institute'],['Bachelor of Science'],['2000'],['Electronic Engineering Electronics Engineering Field'],"['Company Name', 'Company Name', 'Company Name']","['10/2000', '08/1999', '08/1998']","['Current', '09/1999', '08/1999']","[['Operating systems and equipment', 'Training', 'Coordination', 'Fabrication', 'Maintenance'], ['Building and testing', 'Inspection', 'Testing', 'Improvement', 'Implementation'], ['Troubleshooting', 'Repair', 'Fabrication line management']]","['Self-Sustaining Engineering Technician', 'Production Technician', 'Electronic Technician']","Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication",Business Development Executive,True,True,mixed,69
,"['assembly', 'ATM', 'Cadence', 'calibration', 'CA', 'hardware', 'DC', 'de-bugging', 'Ethernet', 'Graphic', 'ISO 9000', 'LabView', 'layout', 'Linux OS', 'Logic', 'Mentor', 'Access', 'MS Office', 'Windows', 'multimeters', 'network', 'networking', 'ORCAD', 'oscilloscopes', 'power supplies', 'procurement', 'purchasing', 'Quality Assurance', 'Routers', 'schematics', 'signal generators', 'SONET', 'Switches', 'T1', 'test equipment', 'trouble shooting', 'troubleshooting', 'validation', 'View']",['Solano College'],['Associate Degree'],['N/A'],['Electronics Engineering Technology'],"['Company Name', 'Company Name', 'Company Name']","['August 2007', 'January 2002', 'April 1995']","['October 2014', 'June 2007', 'November 2001']","[['testing', 'troubleshooting', 'ISO 9000', 'schematics', 'PCB rework'], ['testing', 'troubleshooting', 'ISO 9000', 'schematics', 'PCB rework'], ['testing', 'troubleshooting', 'ISO 9000', 'schematics', 'PCB layout']]","['Electrical Engineering Lab Technician', 'Electrical Engineering Lab Technician', 'Electrical Engineering Technician and PCB Layout Designer']","Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",Machine Learning (ML) Engineer,True,True,mixed,70
"Seeking Roles In Machine Learning, Natural Language Processing, Deep Learning. Previously worked as a Data Processing intern. Having good knowledge in using Python Libraries and different data processing tools.","['Machine Learning', 'Natural Language Processing', 'Deep Learning', 'Business Analysis', 'Python', 'Numpy', 'Pandas', 'Scikit Learn', 'Tensorflow', 'Keras', 'PySpark']",['Sl Thala Model college'],['B.Tech'],['2020'],['N/A'],['SaiKo Computation'],['May 2019'],['August 2019'],[['Data Processing']],['Data Processing Junior Intern'],"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",Machine Learning (ML) Engineer,True,True,mixed,71
,"['Net, photo, agile, analyst', 'Apple', 'automation', 'banking', 'budgets', 'business plan', 'closing', 'com', 'consulting', 'content', 'contracts', 'credit', 'encryption', 'client', 'customer satisfaction', 'data migration', 'database administration', 'driving', 'e-commerce', 'features', 'financial', 'hiring', 'imaging', 'information technology', 'insurance', 'interpretation', 'inventory', 'managing', 'market planning', 'marketing', 'market', 'marketing and sales', 'messaging', 'office', 'new product development', 'developer', 'order management', 'camera', 'policies', 'presenting', 'pricing', 'procurement', 'product development', 'Product manager', 'product management', 'product marketing', 'program management', 'quality', 'quality assurance', 'QA', 'radio', 'real-time', 'receiving', 'retail', 'sales', 'sales management', 'shipping', 'software development', 'stories', 'strategy', 'supply chain', 'technical support', 'television', 'upgrades', 'UI design', 'utilities', 'venture capital', 'vision', 'workflow', 'year-end']","['Georgia Institute of Technology', 'Rutgers University']","['Master of Science', 'Bachelor of Science']","['2006', '1992']","['Management of Technology', 'Computer Science']","['Calero', 'CLA', 'PictureU', 'Ticket Alternative', 'Triplingo', 'Deposco', 'SVG (Servigistics)', 'Commerce Science', 'N/A', 'MediaOcean']","['04/2018', '04/2016', '08/2013', '02/2012', '01/2011', '01/2009', '09/2006', '04/2004', '01/2003', '10/1999']","['05/2018', '04/2018', '04/2016', '08/2013', '02/2012', '12/2010', '12/2008', '09/2006', '04/2004', '11/2002']","[['communication', 'networks'], ['agile', 'UI design', 'mobile development'], ['imaging', 'product management'], ['e-commerce', 'UI design'], ['mobile development', 'UI design'], ['software development', 'technology development'], ['product marketing', 'sales'], ['product management', 'program management'], ['technical consulting', 'web services design'], ['electronic sales management', 'venture capital']]","['Director of Engineering', 'Sr. Director Software Development', 'VP of Engineering and Operations', 'CTO', 'Co-Founder and COO', 'VP of Engineering', 'VP Solutions Sales', 'CTO', 'Independent Consultant', 'CTO & Founder']","Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support",Data Science Engineer,True,True,mixed,72
"strong willingness to exhibit my proficiency in Analytical tools, Statistics and Computing Methodologies in the professional environment.","['Python', 'Webscrapping', 'PowerBI', 'Data Cleaning', 'Data Preparation', 'Data Analysis', 'Predictive Modeling', 'Data Analytics', 'Pivot Table', 'SQL', 'PostgreSQL', 'Analytics', 'Excel', 'Machine Learning', 'XML']",['Mumbai University'],['Bachelor of Science'],['2020'],['Statistics'],['Dell Technologies'],['Jul 2019'],['Sep 2020'],[['Creating dashboards for sales and profits']],['Junior Analyst'],"Management Trainee
Mechanical Systems
Maintenance & Troubleshooting
Performance Analysis
Project Support
Process Improvement
Training & Development
Administrative Support",Management Trainee - Mechanical,True,True,mixed,73
"A curiosity-driven data scientist, eager to leverage machine learning and data analytics to extract meaningful insights, make informed decisions and solve challenging business problems. I ensure to contribute with my knowledge, logical thinking and analytical skills towards the consistent growth and development of the organization, and enhance my experience through continuous learning and teamwork.","['Data Analysis', 'Machine learning', 'Data Mining', 'Natural Language Processing', 'Linear Regression', 'Cluster Analysis', 'Correlation Analysis', 'Logistic Regression', 'Principal Component Analysis', 'Anova', 'Neural Networks', 'R', 'Python', 'MySQL', 'Tableau', 'Excel', 'SPSS', 'Decision tree']","['MamCO University', 'MamCO University']","['BSc(CA)', 'MSc(CA)']","['2018', '2020']","['Computer Applications', 'Computer Applications']",['KPMMC Inc.'],['Aug 2020'],['Ongoing'],"[['Natural Language Processing', 'Python', 'Machine learning']]",['Machine Learning Junior Developer'],"Administrative Support
Scheduling
Filing & Documentation
Communication
Team Support
Equipment Maintenance
Information Provision
Inventory Management
Team Collaboration
OHS Policy Development
Safety Advice
Risk Assessment
Policy Review
OHS Training
Safety Inspections
Unsafe Act Prevention
Incident Investigation
Report Preparation",Asst. Manager/ Manger (Administrative),True,True,mixed,74
"To pursue excellence in the dynamic business world by obtaining a placement allowing me to perform in an environment where honesty, sincerity & a positive attitude would be valued. I would like to take up a challenging job to nourish my qualification, expertise & experience within a reputed organization & further enhance my performance.","['3d', 'accounting', 'Accountant', 'Accounts receivables', 'Adobe Illustrator', 'Adobe Photoshop', 'Pagemaker', 'Audio Editing', 'auditing', 'banking', 'book', 'Budget preparation', 'contracts', 'cost analysis', 'credit', 'clients', 'debit', 'Dec', 'documentation', 'Dos', 'senior Management', 'finance', 'Financial', 'financial management', 'Preparation of Financial Statements', 'HR', 'Inspection', 'Inventory', 'inventory control', 'Macro Media Director', 'MS Office', '2K', 'Windows 9.x', 'works', 'MIS', 'modeling', 'Developer 2000', 'Oracle 8I', 'Oracle', 'payroll', 'policies', 'reporting', 'Sales', 'tax', 'Video Editing']","['Vidyasagar University', 'Mohan Lal Sukhadia University']","['MBA', 'N/A']","['2006', '2000']","['Finance', 'N/A']","['Company Name', 'Company Name', 'Auto1 (Al-Ghannam Auto World Co. WLL)', 'Company Name', 'Company Name', 'Digital Vish Computers']","['October 2011', 'January 2009', 'August 2007', 'April 2006', 'October 2001', 'September 2000']","['August 2015', 'September 2011', 'December 2008', 'May 2007', 'March 2006', 'September 2001']","[['accounting'], ['accounting'], ['Accounting', 'MIS', 'Finance'], ['accounting'], ['Accounting'], ['accounting']]","['Accountant', 'Accountant', 'Accountant', 'Accountant', 'Account Assistant', 'Account Assistant']","Administrative Support
Scheduling
Filing & Documentation
Communication
Team Support
Equipment Maintenance
Information Provision
Inventory Management
Team Collaboration
OHS Policy Development
Safety Advice
Risk Assessment
Policy Review
OHS Training
Safety Inspections
Unsafe Act Prevention
Incident Investigation
Report Preparation",Asst. Manager/ Manger (Administrative),True,True,mixed,75
To obtain a computer engineering internship at XYZ Company that will utilize my problem-solving abilities and to further sharpen my skills in computer science.,"['Python', 'Java', 'HTML 5', 'SQL', 'C Programming', 'Excel', 'Access']",['North Dakota State University'],['Bachelor of Science'],['20XX'],"['Computer Science, Minor: Mathematics']","['IBM', 'NDSU IT']","['May 20XX', 'April 20XX']","['August 20XX', 'May 20XX']","[None, None]","['Software Engineering Intern', 'IT Help Desk Support']","Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support",Data Science Engineer,True,True,mixed,76
"Creative and innovative draftsman, passionate about building designs and advanced construction solutions.Â  Â Seeking the best opportunity to further enhance present professional experience and expand knowledge base on architectural designs, while growing with an organization.","['3D modeling', 'architectural drafting', 'AutoCAD', 'read blueprints', 'carpentry', 'Detail oriented', 'drafting', 'email', 'floor plans', 'frame', '3dsMax', 'mechanical', 'messaging', 'Microsoft Office applications', 'Multi-tasking', 'painting', 'problem solving skills', 'reading', 'renovation', 'Revit', 'self-motivated', 'supervisor']",['ITT Technical Institute'],['A.A.S'],['June 2015'],['Drafting and Design'],"['Company Name', 'Company Name', 'Company Name', 'Company Name']","['July 2015', 'July 2014', 'June 2013', 'June 2010']","['June 2017', 'December 2014', 'August 2013', 'August 2011']","[['creating and finalizing drawings', 'Review projects', 'Assisting customers', 'Multi-tasking'], ['Loaded and unloaded packages'], ['Maintained campus upkeep', 'Repaired, Replaced, and installed signs'], ['Maintained building appearance', 'Involved in renovation projects', 'Janitorial work']]","['Engineering Technician', 'Material Handler', 'Laborer', 'Janitorial/Construction Laborer']","Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking","Executive/ Senior Executive- Trade Marketing, Hygiene Products",True,True,mixed,77
Graduate Looking for roles related to BU analyst and machine learning.,"['Requirement Analysis', 'Machine Learning', 'Predictive Analytics', 'Python', 'Tableau', 'PowerBI', 'R', 'SQL', 'Advanced Excel', 'Business Analytics']",['Sri Venkateshwara University (SVU)'],['B.CA'],['2020'],['Computer Applications'],['CDX Infotech'],['August 2019'],['January 2020'],"[['Python', 'SQL', 'Tableau', 'Power BI']]",['BU Analyst Intern'],"Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning",Data Engineer,True,True,mixed,78
,"['accounting', 'accounts payable', 'Accounts Receivable', 'ADP', 'advertising', 'AR', 'balance sheet', 'balance', 'bank reconciliations', 'benefits', 'billing', 'billings', 'book keeping', 'budget', 'cash flow projections', 'cash flow', 'controller', 'Credit', 'clients', 'data collection', 'delivery', 'documentation', 'email', 'Finance', 'financial', 'financial reporting', 'financial statements', 'fixed assets', 'General Ledger', 'inventory', 'job costing', 'ledger', 'legal', 'materials', 'meetings', 'Microsoft Access', 'Microsoft Excel', 'Excel', 'Microsoft Word', 'negotiating', 'DBA', 'Payables', 'payroll', 'Peachtree', 'processes', 'coding', 'purchasing', 'Express', 'Quick Books', 'QuickBooks', 'Research', 'Sage', 'Sales', 'Spreadsheet', 'Tax', 'software support', 'valuation', 'year-end']","['University of North Carolina', 'N/A']","['Bachelor of Science', 'Bachelor of Science']","['2010', '2010']","['Accounting', 'Business Administration Finance']","['Company Name', 'Company Name', 'Company Name', 'Company Name']","['January 2014', 'March 2013', 'April 2012', 'July 2010']","['October 2014', 'January 2014', 'March 2013', 'August 2011']","[['financial statements', 'reconciliation', 'sales tax', 'payables', 'rent rates', 'leasing', 'cash flow'], ['collections', 'PO entry', 'payables', 'cash flow projections', 'ordering', 'unit valuation'], ['reconciliation', 'ledger', 'spreadsheet design', 'accounts reconciliation'], ['accounting processes', 'bank reconciliations', 'software transition', 'client analysis']]","['Staff Accountant', 'Staff Accountant', 'Staff Accountant', 'Financial Management Partner']","Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration",Intern (Generative AI Engineering - 2D/3D Image Generation),True,True,mixed,79
